age;d13C;author
15.374;1.33;
15.391;1.16;
15.408;1.32;
15.433;1.27;
15.459;1.49;
15.477;1.44;
15.494;1.29;
15.514;1.58;
15.533;1.47;
15.554;1.54;
15.571;1.58;
15.591;1.4;
15.613;1.53;
15.63;1.51;
15.648;1.5;
15.666;1.4;
15.691;1.7;
15.706;1.67;
15.727;1.42;
15.748;1.34;
15.785;1.55;
15.829;1.44;
15.878;1.42;
15.905;1.54;
15.923;1.69;
15.948;1.51;
15.969;1.5;
15.992;1.6;
16.015;1.46;
16.034;1.59;
16.061;1.59;
16.09;1.63;
16.101;1.53;
16.12;1.65;
16.14;1.72;
16.155;1.59;
16.187;1.58;
16.202;1.45;
16.225;1.28;
16.241;1.49;
16.268;1.33;
16.3;1.31;
16.318;1.3;
16.34;1.32;
16.363;1.46;
16.387;1.44;
16.406;1.27;
16.422;1.39;
16.442;1.22;
16.46;1.56;
16.49;1.42;
16.53;1.38;
16.553;1.39;
16.592;1.29;
16.642;1.3;
16.672;1.18;
16.703;1.19;
16.738;1.24;
16.765;1.2;
16.791;1.17;
16.817;1.28;
16.862;1.18;
16.89;1.23;
16.904;1.12;
16.93;1.22;
16.97;1.25;
17;1.21;
17.03;1.28;
17.06;1.07;
17.096;1.14;
17.12;1.04;
17.157;1.13;
17.19;1.11;
17.23;1.06;
17.26;1.19;
17.289;1.02;
17.32;1.03;
17.343;1.01;
17.398;1.2;
17.437;1.13;
17.49;1.05;
17.524;0.94;
17.55;0.93;
17.572;0.88;
17.592;1.05;
17.64;1.02;
17.673;0.95;
17.71;0.92;
17.748;0.9;
17.79;1.02;
17.815;0.86;
17.845;1.01;
17.874;0.9;
17.907;0.88;
17.93;0.89;
17.958;0.71;
17.98;0.87;
18;0.91;
18.02;0.68;
18.049;0.74;
18.059;0.72;
18.08;0.5;
18.092;0.53;
18.123;0.56;
18.14;0.81;
18.154;0.98;
18.17;0.76;
18.183;0.7;
18.199;0.46;
18.215;0.57;
18.23;0.7;
18.25;0.83;
18.26;0.77;
18.272;0.81;
18.29;0.83;
18.31;0.52;
18.33;0.6;
18.344;0.82;
18.36;0.9;
18.36;0.84;
18.36;0.79;
18.363;0.77;
18.365;0.76;
18.374;0.72;
18.39;0.97;
18.4;0.66;
18.416;0.86;
18.431;0.54;
18.45;0.58;
18.468;0.61;
18.49;0.65;
18.52;0.85;
18.554;0.84;
18.578;0.83;
18.599;0.9;
18.61;0.81;
18.622;0.86;
18.635;0.79;
18.652;0.56;
18.67;0.62;
18.68;0.92;
18.695;0.82;
18.711;0.83;
18.728;0.92;
18.734;0.86;
18.75;0.66;
18.76;1;
18.77;0.93;
18.787;0.79;
18.804;0.88;
18.83;0.73;
18.85;0.74;
18.87;0.68;
18.888;0.49;
18.908;0.69;
18.93;0.47;
18.94;0.76;
18.953;0.72;
18.965;0.75;
18.978;0.82;
18.994;0.81;
19.01;0.73;
19.022;0.9;
19.04;0.96;
19.056;0.71;
19.07;0.77;
19.087;0.83;
19.103;0.91;
19.124;0.91;
19.136;0.82;
19.16;1.04;
19.18;0.88;
19.2;0.94;
19.22;0.68;
19.234;0.83;
19.252;0.72;
19.27;0.75;
19.288;0.79;
19.31;0.93;
19.326;0.83;
19.347;0.84;
19.361;1.11;
19.38;0.92;
19.393;0.76;
19.41;0.95;
19.423;0.78;
19.45;1.08;
19.47;0.97;
19.486;0.95;
19.504;0.85;
19.529;0.7;
19.542;0.85;
19.566;0.81;
19.58;0.79;
19.599;0.69;
19.616;0.64;
19.64;0.43;
19.652;0.78;
19.67;0.85;
19.69;0.84;
19.69;0.83;
19.692;0.87;
19.697;0.83;
19.71;0.88;
19.722;0.72;
19.745;0.79;
19.767;0.81;
19.793;0.61;
19.815;0.77;
19.831;0.74;
19.848;0.88;
19.866;0.75;
19.89;0.81;
19.92;0.76;
19.941;0.64;
19.952;0.77;
19.966;0.66;
19.985;0.75;
19.992;0.6;
20;0.65;
20.017;0.65;
20.03;0.51;
20.05;0.81;
20.063;0.66;
20.071;0.62;
20.083;0.6;
20.1;0.58;
20.127;0.63;
20.157;0.73;
20.173;0.69;
20.188;0.81;
20.2;0.7;
20.21;0.88;
20.23;0.76;
20.248;0.71;
20.273;0.79;
20.291;0.64;
20.31;0.73;
20.33;0.65;
20.35;0.67;
20.367;0.69;
20.385;0.65;
20.4;0.72;
20.426;0.6;
20.448;0.61;
20.47;0.76;
20.488;0.52;
20.503;0.79;
20.529;0.73;
20.544;0.76;
20.56;0.82;
20.578;0.93;
20.6;0.71;
20.617;0.73;
20.63;0.85;
20.643;0.75;
20.661;0.93;
20.663;0.95;
20.665;0.97;
20.668;0.95;
20.668;0.91;
20.678;0.84;
20.7;0.85;
20.72;0.73;
20.74;0.72;
20.755;0.72;
20.768;0.81;
20.78;0.6;
20.81;0.66;
20.83;0.68;
20.858;0.75;
20.88;0.78;
20.909;0.76;
20.933;0.77;
20.967;0.8;
20.984;0.84;
21.005;0.67;
21.027;0.9;
21.047;0.76;
21.076;0.74;
21.094;0.91;
21.121;0.91;
21.131;0.91;
21.14;0.9;
21.156;0.78;
21.173;0.83;
21.2;0.74;
21.22;0.76;
21.236;0.85;
21.259;0.77;
21.277;1.02;
21.3;0.89;
21.323;0.97;
21.344;1.04;
21.36;0.82;
21.377;0.73;
21.392;1;
21.41;0.8;
21.43;0.88;
21.443;0.85;
21.453;0.8;
21.47;0.69;
21.483;0.76;
21.497;0.7;
21.515;0.77;
21.53;0.71;
21.548;0.65;
21.562;0.56;
21.576;0.78;
21.589;0.69;
21.6;0.82;
21.611;0.64;
21.624;0.69;
21.63;0.63;
21.642;0.84;
21.656;0.83;
21.668;0.99;
21.684;0.91;
21.694;1.03;
21.704;1.1;
21.717;0.88;
21.726;1;
21.739;1.06;
21.75;1.03;
21.76;1.1;
21.772;1.06;
21.784;1.15;
21.792;1.19;
21.804;1.23;
21.818;1.3;
21.83;1.29;
21.847;1.19;
21.865;1.08;
21.883;1.17;
21.894;1.11;
21.906;1.08;
21.919;0.98;
21.933;1.1;
21.945;1.01;
21.959;1.03;
21.97;1.19;
21.981;1.05;
21.99;1.21;
22;1.01;
22.024;1.03;
22.035;1.01;
22.051;1.17;
22.067;1.26;
22.084;1.16;
22.098;1.3;
22.111;1.24;
22.123;1.2;
22.13;1.28;
22.14;1.32;
22.15;1.25;
22.16;1.27;
22.172;1.42;
22.188;1.34;
22.204;1.25;
22.22;1.43;
22.234;1.34;
22.246;1.24;
22.26;1.38;
22.27;1.26;
22.28;1.3;
22.29;1.39;
22.305;1.11;
22.32;1.19;
22.333;1.2;
22.348;1.33;
22.357;1.21;
22.367;1.16;
22.379;1.27;
22.388;1.25;
22.4;1.21;
22.41;1.27;
22.42;1.25;
22.431;1.23;
22.441;1.3;
22.45;1.12;
22.46;1.28;
22.47;1.2;
22.48;1.3;
22.491;1.15;
22.495;0.74;
22.495;0.77;
22.504;1.26;
22.52;1.4;
22.53;1.33;
22.538;1.31;
22.55;1.26;
22.557;1.37;
22.565;1.14;
22.571;1.28;
22.588;1.2;
22.599;1.25;
22.605;1.17;
22.614;1.31;
22.624;1.13;
22.634;1.15;
22.65;1.13;
22.66;1.27;
22.67;1.21;
22.68;1.15;
22.695;1.2;
22.703;1.18;
22.71;1.09;
22.72;1.11;
22.729;1.16;
22.736;1.14;
22.743;1.14;
22.752;1.11;
22.762;1.04;
22.77;1.06;
22.78;1.04;
22.789;1.2;
22.792;1.12;
22.8;1.23;
22.81;1.11;
22.818;1.28;
22.83;1.35;
22.848;1.25;
22.86;1.37;
22.87;1.3;
22.878;1.12;
22.885;1.25;
22.893;1.29;
22.904;1.37;
22.91;1.29;
22.918;1.24;
22.93;1.19;
22.94;1.35;
22.946;1.26;
22.954;1.36;
22.96;1.4;
22.969;1.43;
22.978;1.27;
22.989;1.39;
22.994;1.2;
23.003;1.28;
23.011;1.38;
23.018;1.16;
23.028;1.28;
23.034;1.35;
23.043;1.29;
23.054;1.16;
23.06;1.25;
23.066;1.23;
23.076;1.12;
23.085;1.17;
23.094;1.14;
23.102;1.13;
23.112;1.01;
23.119;1.12;
23.126;0.99;
23.139;0.85;
23.148;0.96;
23.158;0.89;
23.168;1.01;
23.176;1.01;
23.185;0.99;
23.194;0.91;
23.203;0.98;
23.212;0.88;
23.221;0.94;
23.23;0.93;
23.238;0.76;
23.249;0.9;
23.259;0.81;
23.268;0.77;
23.279;0.96;
23.287;0.81;
23.3;0.85;
23.31;0.97;
23.317;0.82;
23.33;0.82;
23.341;0.94;
23.349;0.84;
23.358;0.96;
23.367;1.04;
23.381;1.07;
23.389;0.99;
23.399;0.93;
23.412;1.12;
23.421;1.06;
23.428;1;
23.438;0.98;
23.446;1.01;
23.456;1.05;
23.463;1.06;
23.476;1;
23.485;0.82;
23.493;0.99;
23.501;0.97;
23.509;0.86;
23.518;0.97;
23.527;0.95;
23.537;0.88;
23.546;0.93;
23.554;1.09;
23.564;0.71;
23.571;0.86;
23.582;0.81;
23.592;0.99;
23.601;0.92;
23.608;0.76;
23.615;0.66;
23.622;0.76;
23.628;0.88;
23.637;0.87;
23.647;0.72;
23.655;0.79;
23.661;0.67;
23.668;0.74;
23.674;0.54;
23.681;0.66;
23.688;0.73;
23.697;0.78;
23.705;0.66;
23.712;0.7;
23.722;0.71;
23.73;0.72;
23.739;0.75;
23.748;0.73;
23.758;0.72;
23.766;0.67;
23.774;0.72;
23.781;0.78;
23.792;0.65;
23.802;0.73;
23.811;0.77;
23.821;0.69;
23.83;0.79;
23.839;0.78;
23.847;0.79;
23.856;0.7;
23.866;0.7;
23.871;0.66;
23.877;0.75;
23.885;0.61;
23.894;0.66;
23.902;0.75;
23.912;0.75;
23.921;0.68;
23.927;0.81;
23.934;0.66;
23.945;0.69;
23.956;0.69;
23.962;0.59;
23.978;0.63;
23.988;0.59;
23.999;0.52;
24.005;0.65;
24.016;0.48;
24.024;0.7;
24.037;0.64;
24.05;0.71;
24.058;0.62;
24.066;0.64;
24.08;0.66;
24.092;0.59;
24.112;0.7;
24.13;0.79;
24.144;0.71;
24.162;0.58;
24.175;0.8;
24.192;0.77;
24.203;0.79;
24.217;0.88;
24.239;0.81;
24.253;0.8;
24.265;0.73;
24.277;0.7;
24.29;0.61;
24.3;0.69;
24.312;0.76;
24.326;0.83;
24.326;0.85;
24.326;0.83;
24.326;0.78;
24.326;0.78;
24.333;0.62;
24.344;0.69;
24.355;0.74;
24.365;0.62;
24.376;0.62;
24.385;0.73;
24.392;0.55;
24.402;0.59;
24.413;0.56;
24.424;0.64;
24.438;0.53;
24.45;0.58;
24.468;0.56;
24.479;0.6;
24.495;0.68;
24.506;0.52;
24.519;0.63;
24.533;0.59;
24.546;0.59;
24.559;0.7;
24.575;0.69;
24.586;0.71;
24.597;0.77;
24.609;0.63;
24.62;0.63;
24.635;0.66;
24.647;0.58;
24.665;0.68;
24.676;0.65;
24.688;0.64;
24.702;0.61;
24.716;0.59;
24.726;0.65;
24.739;0.73;
24.752;0.66;
24.766;0.6;
24.778;0.74;
24.786;0.57;
24.799;0.45;
24.807;0.64;
24.815;0.53;
24.825;0.46;
24.835;0.63;
24.843;0.49;
24.853;0.67;
24.861;0.55;
24.87;0.58;
24.88;0.67;
24.893;0.52;
24.906;0.5;
24.92;0.51;
24.936;0.7;
24.947;0.69;
24.961;0.72;
24.983;0.61;
25.003;0.57;
25.02;0.68;
25.034;0.63;
25.05;0.67;
25.067;0.69;
25.08;0.57;
25.094;0.61;
25.112;0.46;
25.128;0.44;
25.147;0.57;
25.162;0.44;
25.176;0.49;
25.193;0.59;
25.21;0.53;
25.233;0.54;
25.248;0.43;
25.263;0.69;
25.284;0.64;
25.285;0.65;
25.286;0.61;
25.286;0.62;
25.289;0.68;
25.289;0.66;
25.29;0.68;
25.293;0.69;
25.293;0.68;
25.294;0.66;
25.294;0.6;
25.307;0.68;
25.325;0.67;
25.34;0.69;
25.355;0.58;
25.374;0.59;
25.394;0.62;
25.426;0.6;
25.442;0.68;
25.459;0.63;
25.472;0.59;
25.483;0.78;
25.492;0.76;
25.505;0.59;
25.515;0.7;
25.526;0.76;
25.537;0.79;
25.549;0.74;
25.559;0.79;
25.567;0.74;
25.579;0.66;
25.595;0.83;
25.61;0.72;
25.626;0.82;
25.64;0.89;
25.657;0.71;
25.673;0.74;
25.691;0.74;
25.705;0.89;
25.721;0.71;
25.737;0.86;
25.751;0.74;
25.76;0.66;
25.77;0.67;
25.786;0.66;
25.795;0.61;
25.803;0.6;
25.812;0.52;
25.824;0.49;
25.835;0.44;
25.847;0.65;
25.86;0.34;
25.874;0.27;
25.892;0.56;
25.905;0.63;
25.92;0.59;
25.935;0.34;
25.95;0.68;
25.966;0.57;
25.982;0.56;
25.993;0.6;
26.01;0.58;
26.022;0.35;
26.042;0.56;
26.053;0.41;
26.067;0.44;
26.084;0.43;
26.102;0.59;
26.119;0.64;
26.138;0.42;
26.155;0.42;
26.173;0.68;
26.181;0.71;
26.193;0.71;
26.212;0.6;
26.224;0.58;
26.234;0.45;
26.246;0.86;
26.263;0.76;
26.275;0.69;
26.285;0.7;
26.294;0.64;
26.307;0.7;
26.317;0.64;
26.329;0.31;
26.343;0.49;
26.359;0.8;
26.376;0.59;
26.403;0.52;
26.418;0.57;
26.43;0.64;
26.442;0.73;
26.458;0.6;
26.475;0.54;
26.493;0.74;
26.506;0.7;
26.522;0.58;
26.537;0.63;
26.557;0.63;
26.594;0.85;
26.641;0.68;
26.689;0.73;
26.719;0.68;
26.744;0.62;
26.744;0.67;
26.744;0.69;
26.744;0.71;
26.76;0.67;
26.81;0.61;
26.854;0.72;
26.889;0.46;
26.919;0.55;
26.961;0.59;
27;0.47;
27.055;0.48;
27.1;0.57;
27.135;0.58;
27.164;0.58;
27.188;0.75;
27.212;0.62;
27.233;0.72;
27.25;0.7;
27.264;0.53;
27.284;0.41;
27.313;0.5;
27.354;0.58;
27.398;0.43;
27.43;0.3;
27.471;0.5;
27.497;0.59;
27.514;0.58;
27.55;0.58;
27.583;0.72;
27.624;0.53;
27.654;0.55;
27.683;0.4;
27.709;0.26;
27.737;0.49;
27.772;0.27;
27.798;0.25;
27.832;0.41;
27.865;0.27;
27.896;0.4;
27.93;0.59;
27.97;0.5;
28.003;0.51;
28.046;0.59;
28.069;0.48;
28.112;0.35;
28.141;0.45;
28.183;0.19;
28.23;0.3;
28.273;0.25;
28.307;0.32;
28.328;0.23;
28.357;0.38;
28.392;0.26;
28.428;0.5;
28.457;0.5;
28.49;0.37;
28.517;0.41;
28.562;0.34;
28.593;0.44;
28.617;0.43;
28.632;0.38;
28.679;0.41;
28.711;0.52;
28.75;0.37;
28.789;0.42;
28.824;0.41;
28.827;0.42;
28.83;0.44;
28.832;0.43;
28.836;0.42;
28.859;0.36;
28.887;0.43;
28.922;0.4;
28.947;0.29;
28.966;0.49;
28.986;0.45;
29.016;0.15;
29.027;0.17;
29.047;0.4;
29.072;0.34;
29.089;0.5;
29.119;0.47;
29.163;0.34;
29.19;0.33;
29.213;0.47;
29.25;0.4;
29.286;0.61;
29.33;0.48;
29.355;0.46;
29.372;0.37;
29.401;0.35;
29.451;0.26;
29.493;0.17;
29.523;0.43;
29.565;0.37;
29.604;0.39;
29.625;0.45;
29.667;0.5;
29.704;0.53;
29.725;0.63;
29.744;0.57;
29.763;0.49;
29.79;0.64;
29.818;0.63;
29.842;0.53;
29.873;0.55;
29.908;0.65;
29.911;0.61;
29.915;0.61;
29.916;0.5;
29.943;0.49;
29.978;0.49;
30.013;0.52;
30.042;0.48;
30.073;0.48;
30.098;0.64;
30.123;0.57;
30.145;0.67;
30.182;0.56;
30.221;0.61;
30.263;0.77;
30.281;0.74;
30.317;0.57;
30.353;0.61;
30.387;0.63;
30.422;0.78;
30.448;0.6;
30.496;0.56;
30.537;0.55;
30.566;0.65;
30.601;0.75;
30.625;0.81;
30.643;0.85;
30.663;0.86;
30.677;0.88;
30.694;0.83;
30.711;0.94;
30.728;0.85;
30.751;0.74;
30.768;0.77;
30.789;0.86;
30.806;0.83;
30.819;0.79;
30.839;0.99;
30.858;1.01;
30.874;1.02;
30.888;0.94;
30.902;0.9;
30.915;0.79;
30.93;0.9;
30.948;0.9;
30.965;1.03;
30.982;0.96;
30.993;0.72;
31.01;0.97;
31.029;0.84;
31.047;0.89;
31.064;0.78;
31.095;0.95;
31.114;0.9;
31.133;0.88;
31.148;0.97;
31.169;0.89;
31.181;1.02;
31.201;0.9;
31.215;0.9;
31.234;0.97;
31.253;0.75;
31.27;0.65;
31.285;0.77;
31.3;0.78;
31.313;0.72;
31.33;0.8;
31.34;0.8;
31.35;0.71;
31.363;0.75;
31.374;0.81;
31.388;0.87;
31.4;0.9;
31.417;0.94;
31.434;0.98;
31.452;0.81;
31.464;0.88;
31.481;0.86;
31.495;0.89;
31.513;0.97;
31.529;0.9;
31.544;0.85;
31.561;0.87;
31.583;0.89;
31.605;0.82;
31.625;0.72;
31.641;0.82;
31.659;0.77;
31.679;0.83;
31.691;0.92;
31.703;0.77;
31.71;0.76;
31.71;0.75;
31.711;0.73;
31.714;0.75;
31.714;0.8;
31.716;0.78;
31.717;0.79;
31.72;0.73;
31.73;0.76;
31.748;0.68;
31.764;0.73;
31.779;0.9;
31.79;0.78;
31.807;0.87;
31.825;0.81;
31.835;0.86;
31.847;0.9;
31.855;0.91;
31.868;0.95;
31.879;0.91;
31.893;0.98;
31.91;0.99;
31.929;0.87;
31.947;0.94;
31.966;0.85;
31.985;0.93;
32.011;0.9;
32.023;0.99;
32.038;0.87;
32.051;0.78;
32.064;0.74;
32.084;0.84;
32.097;0.78;
32.109;0.8;
32.122;0.8;
32.136;0.89;
32.158;0.87;
32.18;0.88;
32.199;0.83;
32.221;0.85;
32.241;0.88;
32.259;0.9;
32.269;1.08;
32.284;0.93;
32.303;0.91;
32.314;0.93;
32.327;0.97;
32.339;0.93;
32.352;0.95;
32.367;0.99;
32.38;0.83;
32.395;0.91;
32.407;1.16;
32.42;0.94;
32.428;1.02;
32.449;0.93;
32.474;0.87;
32.488;0.91;
32.507;1;
32.52;1.03;
32.53;1.1;
32.546;0.95;
32.56;1.05;
32.574;1.05;
32.59;0.93;
32.613;0.97;
32.639;0.98;
32.666;0.97;
32.679;1.07;
32.7;0.99;
32.725;1.06;
32.746;1.11;
32.763;0.96;
32.777;0.95;
32.797;1.01;
32.813;1.03;
32.839;0.96;
32.863;1;
32.886;1.15;
32.912;1.05;
32.934;0.97;
32.949;1.08;
32.964;0.98;
32.985;1.07;
33.01;1.13;
33.029;1.17;
33.044;1.14;
33.06;1.17;
33.085;1.21;
33.116;1.16;
33.13;1.29;
33.14;1.62;
33.147;1.37;
33.168;1.37;
33.183;1.4;
33.193;1.38;
33.206;1.48;
33.229;1.41;
33.245;1.35;
33.264;1.38;
33.285;1.33;
33.305;1.29;
33.328;1.23;
33.338;1.29;
33.36;1.32;
33.376;1.36;
33.394;1.38;
33.412;1.45;
33.435;1.41;
33.454;1.43;
33.47;1.5;
33.49;1.47;
33.509;1.52;
33.524;1.62;
33.547;1.47;
33.565;1.57;
33.577;1.46;
33.593;1.42;
33.614;1.47;
33.631;1.43;
33.655;1.36;
33.667;1.37;
33.689;1.38;
33.703;1.2;
33.72;1.15;
33.744;1.18;
33.759;1.14;
33.772;1.1;
33.79;1.12;
33.809;1.19;
33.823;1.1;
33.846;1.07;
33.864;1.22;
33.883;1.08;
33.901;1.14;
33.917;1.05;
33.939;0.97;
33.968;1.07;
33.995;1;
34.013;1.08;
34.04;0.87;
34.054;0.88;
34.076;0.87;
34.115;0.91;
34.15;1;
34.164;0.91;
34.184;0.71;
34.221;0.78;
34.254;0.83;
34.296;0.96;
34.361;0.95;
34.409;0.95;
34.437;1.04;
34.484;0.91;
34.538;0.95;
34.573;1;
34.633;0.88;
34.666;0.94;
34.695;0.84;
34.742;0.98;
34.777;0.96;
34.818;1.12;
34.894;1.13;
34.984;1.09;
35.051;1.08;
35.12;1.21;
35.192;1.09;
35.259;1.05;
35.295;1.06;
35.237;1.2;
35.279;1.19;
35.346;1.09;
35.391;1.08;
35.443;1.11;
35.539;1.06;
35.593;0.93;
35.69;0.77;
35.761;0.78;
35.882;0.81;
35.96;0.72;
36.054;0.91;
36.102;1.12;
36.162;1.05;
36.262;0.85;
36.317;1.34;
36.327;1.48;
36.344;1.43;
36.363;1.32;
36.379;1.4;
36.421;1.45;
36.467;1.42;
36.483;1.3;
36.49;1.22;
36.538;1.25;
36.577;1.11;
36.596;1.22;
36.622;1.16;
36.631;1.22;
36.637;1.24;
36.66;1.05;
36.675;0.88;
36.701;0.78;
36.715;1.02;
36.747;1.14;
36.766;1.37;
36.786;1.19;
36.795;1.31;
36.807;1.3;
36.817;1.21;
36.832;1.19;
36.854;1.18;
36.871;1.15;
36.891;1.16;
36.908;1.08;
36.927;1.04;
36.947;0.96;
36.974;0.89;
37.013;0.93;
37.031;0.96;
37.057;0.96;
37.084;0.91;
37.106;0.92;
37.12;1;
37.15;1;
37.179;1.06;
37.238;1.03;
37.27;1.02;
37.369;0.87;
37.766;0.83;
37.988;0.88;
38.238;0.75;
38.409;0.79;
38.638;0.71;
38.822;0.68;
39.042;0.73;
39.164;0.79;
39.296;0.71;
39.354;0.68;
39.462;0.97;
39.575;0.97;
39.622;1.06;
39.653;1.08;
39.685;1.06;
39.731;1.06;
39.771;1.13;
39.808;1.13;
39.838;1.15;
39.855;1.23;
39.888;1.38;
39.913;1.43;
39.927;1.3;
39.954;1.26;
39.977;1.33;
40.009;1.38;
40.037;1.28;
40.059;1.22;
40.087;1.14;
40.115;1.19;
40.135;1.02;
40.159;1;
40.172;0.81;
40.173;0.76;
40.173;0.67;
40.174;0.71;
40.175;0.71;
40.18;0.7;
40.184;0.77;
40.186;0.8;
40.186;0.85;
40.19;0.93;
40.213;1.1;
40.235;1.04;
40.253;1.04;
40.286;0.95;
40.304;1;
40.337;1.14;
40.36;1.04;
40.394;1.05;
40.417;0.99;
40.438;0.97;
40.467;1;
40.495;0.95;
40.514;0.83;
40.532;0.7;
40.557;0.9;
40.591;0.89;
40.617;0.8;
40.658;0.95;
40.685;0.66;
40.721;0.67;
40.742;0.71;
40.812;0.74;
40.85;0.67;
40.903;0.79;
40.957;0.77;
41.003;0.62;
41.051;0.78;
41.099;0.65;
41.16;0.67;
41.211;0.6;
41.279;0.71;
41.385;0.61;
41.467;0.54;
41.477;0.54;
41.482;0.51;
41.511;0.58;
41.517;0.65;
41.537;0.67;
41.624;0.73;
41.82;0.57;
41.92;0.77;
42.13;0.55;
42.255;0.6;
42.379;0.68;
42.447;0.64;
42.561;0.69;
42.669;0.73;
42.734;0.75;
42.862;0.84;
42.983;0.86;
43.103;0.8;
43.225;0.95;
43.284;0.8;
43.407;0.97;
43.505;0.75;
43.587;0.81;
43.827;0.54;
43.978;0.68;
44.222;0.57;
44.317;0.65;
44.459;0.58;
44.648;0.58;
44.816;0.66;
44.913;0.61;
45.058;0.63;
45.174;0.57;
45.332;0.69;
45.504;0.79;
45.64;0.63;
45.769;0.5;
45.882;0.59;
46.031;0.54;
46.199;0.68;
46.38;0.64;
46.58;0.75;
46.844;0.7;
47.174;0.72;
47.303;0.69;
47.439;0.88;
47.552;0.79;
47.689;0.79;
47.805;0.67;
47.959;0.79;
48.083;0.98;
48.18;1.04;
48.29;0.97;
48.424;0.92;
48.538;0.8;
48.721;0.89;
48.865;0.85;
49.035;0.89;
49.164;0.78;
49.267;0.96;
49.38;0.94;
49.485;0.83;
49.696;0.99;
49.791;0.95;
49.978;1.08;
50.13;0.96;
50.195;0.97;
50.252;0.7;
50.437;0.66;
50.629;0.61;
50.853;0.69;
51.127;0.58;
51.432;0.48;
51.617;0.28;
51.749;0.19;
52.017;0.27;
52.199;0.32;
52.303;0.17;
52.303;0.13;
52.319;0.12;
52.358;0.13;
52.464;0.14;
52.591;0.04;
52.659;0.44;
52.735;0.23;
52.815;0.16;
52.858;0.2;
52.974;-0.1;
53.05;0.31;
53.154;0.26;
53.226;0.26;
53.302;-0.06;
53.398;0.28;
53.512;0.17;
53.579;0.63;
53.639;0.26;
53.72;0.15;
53.792;0.26;
53.936;0.04;
53.948;0.05;
53.994;-0.1;
54.042;0.32;
54.116;0.18;
54.31;0.16;
54.402;0.44;
54.477;0.94;
54.529;0.62;
54.669;0.57;
54.779;0.68;
54.847;0.76;
54.918;0.97;
54.978;0.8;
55.043;0.96;
55.14;0.93;
55.17;0.87;
55.232;0.81;
55.27;0.98;
55.345;1.03;
55.401;1.2;
55.491;1.27;
55.57;1.43;
55.631;1.53;
55.676;1.09;
55.78;0.93;
55.813;0.9;
55.838;0.66;
55.862;0.92;
55.881;0.64;
55.901;0.46;
55.913;0.13;
55.922;0.08;
55.934;-0.21;
55.935;-0.29;
55.935;-0.45;
55.938;-0.42;
55.941;-0.49;
55.945;-0.58;
55.947;-0.42;
55.948;-0.41;
55.949;-0.5;
55.951;-0.34;
55.951;-0.33;
55.953;-0.38;
55.954;-0.18;
55.954;0;
55.957;-0.01;
55.958;0.19;
55.959;0.47;
55.965;0.74;
55.965;0.99;
55.966;1.3;
55.97;1.37;
55.976;1.67;
55.996;1.36;
56.013;1.36;
56.038;1.57;
56.058;1.5;
56.102;1.34;
56.164;1.75;
56.196;1.9;
56.251;1.8;
56.397;2.18;
56.558;2.35;
56.667;2.33;
56.775;2.04;
56.955;1.99;
57.146;2.13;
57.306;2.16;
57.425;2.11;
57.595;2.35;
57.676;2.37;
57.806;2.46;
57.946;2.56;
58.081;2.48;
58.294;2.39;
58.405;2.4;
58.473;2.38;
58.646;2.34;
58.795;2.15;
59.023;1.9;
59.582;2.04;
59.89;1.88;
60.216;1.67;
60.601;1.22;
60.883;1.31;
61.411;1.02;
61.582;1.08;
61.872;1.18;
62.183;1.06;
62.343;0.98;
62.597;1.4;
63.085;1.22;
63.493;1.31;
63.753;1.45;
64.218;1.36;
64.603;1.42;
65.209;1.64;
65.362;1.85;
65.474;1.86;
65.474;1.9;
65.733;1.95;
65.733;1.96;
65.765;1.93;
65.887;2;
65.945;2.07;
65.987;1.79;
66.104;1.53;
66.316;1.41;
66.428;1.78;
66.523;1.41;
66.78;1.26;
67.169;1.34;
67.722;1.3;
67.855;1.54;
68.195;1.47;
68.329;1.71;
68.424;1.53;
68.579;1.77;
68.725;1.46;
68.838;1.73;
68.999;1.72;
69.19;1.59;
69.385;1.66;
69.44;1.51;
69.48;1.65;
69.527;1.22;
69.687;1.6;
69.772;1.49;
69.866;1.4;
69.989;0.96;
70.056;1.1;Cramer (2009) above here 
70.141;1.3;Voight et al., 2010
70.577;1.5;
71.013;1.3;
71.519;1.65;
72.025;1.6;
73.001;1.8;
73.011;1.94;
73.39;2.09;
73.89;2.07;
74.313;1.98;
74.817;1.78;
75.416;1.86;
75.558;2.02;
76.254;2.19;
76.991;2.2;
77.487;2.31;
78.038;2.33;
78.522;2.48;
79.239;2.53;
79.366;2.5;
79.706;2.4;
80.256;2.45;
80.751;2.33;
81.244;2.39;
81.737;2.39;
82.228;2.43;
82.502;2.47;
82.674;2.52;
83.168;2.54;
83.664;2.65;
84.19;2.77;
84.352;2.66;
84.708;2.52;
84.91;2.44;
85.171;2.36;
85.247;2.36;
85.459;2.47;
85.72;2.52;
85.958;2.32;
86.008;2.27;
86.159;2.37;
86.26;2.34;
86.453;2.43;
86.984;2.53;
87.568;2.49;
88.142;2.51;
88.243;2.56;
88.667;2.43;
89.173;2.31;
89.571;2.19;
89.711;1.98;
89.75;1.99;
89.76;2.04;
89.896;2.31;
90.061;2.59;
90.225;2.27;
90.305;2.1;
90.371;1.93;
90.372;1.75;
90.792;1.78;
90.951;1.79;
91.188;2.17;
91.228;2.51;
91.307;2.29;
91.588;2.13;
91.976;2.4;
92.147;2.66;
